request_id	correlation_id	started_at	status	time_total	remote_ip	url_effective	redirect_url
1	click-load-test-1	2026-06-26T21:56:59Z	404	0.283542	::1	https://localhost/r/GoThere1	
2	click-load-test-2	2026-06-26T21:56:59Z	404	0.196970	::1	https://localhost/r/GoThere1	
3	click-load-test-3	2026-06-26T21:56:59Z	404	0.258304	::1	https://localhost/r/GoThere1	
4	click-load-test-4	2026-06-26T21:56:59Z	404	0.226124	::1	https://localhost/r/GoThere1	
5	click-load-test-5	2026-06-26T21:56:59Z	404	0.202782	::1	https://localhost/r/GoThere1	
6	click-load-test-6	2026-06-26T21:56:59Z	404	0.153777	::1	https://localhost/r/GoThere1	
7	click-load-test-7	2026-06-26T21:56:59Z	404	0.193207	::1	https://localhost/r/GoThere1	
8	click-load-test-8	2026-06-26T21:56:59Z	404	0.125032	::1	https://localhost/r/GoThere1	
9	click-load-test-9	2026-06-26T21:56:59Z	404	0.132882	::1	https://localhost/r/GoThere1	
10	click-load-test-10	2026-06-26T21:56:59Z	404	0.193602	::1	https://localhost/r/GoThere1	
11	click-load-test-11	2026-06-26T21:56:59Z	404	0.226794	::1	https://localhost/r/GoThere1	
12	click-load-test-12	2026-06-26T21:56:59Z	404	0.209168	::1	https://localhost/r/GoThere1	
13	click-load-test-13	2026-06-26T21:56:59Z	404	0.223948	::1	https://localhost/r/GoThere1	
14	click-load-test-14	2026-06-26T21:56:59Z	404	0.239692	::1	https://localhost/r/GoThere1	
15	click-load-test-15	2026-06-26T21:56:59Z	404	0.259728	::1	https://localhost/r/GoThere1	
16	click-load-test-16	2026-06-26T21:57:00Z	404	0.266306	::1	https://localhost/r/GoThere1	
17	click-load-test-17	2026-06-26T21:57:00Z	404	0.300718	::1	https://localhost/r/GoThere1	
18	click-load-test-18	2026-06-26T21:57:00Z	404	0.308713	::1	https://localhost/r/GoThere1	
19	click-load-test-19	2026-06-26T21:57:00Z	404	0.286071	::1	https://localhost/r/GoThere1	
20	click-load-test-20	2026-06-26T21:57:00Z	404	0.267458	::1	https://localhost/r/GoThere1	
21	click-load-test-21	2026-06-26T21:57:00Z	404	0.319899	::1	https://localhost/r/GoThere1	
22	click-load-test-22	2026-06-26T21:57:00Z	404	0.357485	::1	https://localhost/r/GoThere1	
23	click-load-test-23	2026-06-26T21:57:00Z	404	0.400445	::1	https://localhost/r/GoThere1	
24	click-load-test-24	2026-06-26T21:57:00Z	404	0.458257	::1	https://localhost/r/GoThere1	
25	click-load-test-25	2026-06-26T21:57:00Z	404	0.420560	::1	https://localhost/r/GoThere1	
26	click-load-test-26	2026-06-26T21:57:00Z	404	0.456622	::1	https://localhost/r/GoThere1	
27	click-load-test-27	2026-06-26T21:57:00Z	404	0.449869	::1	https://localhost/r/GoThere1	
28	click-load-test-28	2026-06-26T21:57:00Z	404	0.467952	::1	https://localhost/r/GoThere1	
29	click-load-test-29	2026-06-26T21:57:00Z	404	0.474381	::1	https://localhost/r/GoThere1	
30	click-load-test-30	2026-06-26T21:57:00Z	404	0.430117	::1	https://localhost/r/GoThere1	
31	click-load-test-31	2026-06-26T21:57:00Z	404	0.413214	::1	https://localhost/r/GoThere1	
32	click-load-test-32	2026-06-26T21:57:00Z	404	0.394325	::1	https://localhost/r/GoThere1	
33	click-load-test-33	2026-06-26T21:57:00Z	404	0.398450	::1	https://localhost/r/GoThere1	
34	click-load-test-34	2026-06-26T21:57:00Z	404	0.392923	::1	https://localhost/r/GoThere1	
35	click-load-test-35	2026-06-26T21:57:00Z	404	0.406939	::1	https://localhost/r/GoThere1	
36	click-load-test-36	2026-06-26T21:57:00Z	404	0.403010	::1	https://localhost/r/GoThere1	
37	click-load-test-37	2026-06-26T21:57:00Z	404	0.417141	::1	https://localhost/r/GoThere1	
38	click-load-test-38	2026-06-26T21:57:00Z	404	0.413333	::1	https://localhost/r/GoThere1	
39	click-load-test-39	2026-06-26T21:57:00Z	404	0.406637	::1	https://localhost/r/GoThere1	
40	click-load-test-40	2026-06-26T21:57:00Z	404	0.435720	::1	https://localhost/r/GoThere1	
41	click-load-test-41	2026-06-26T21:57:00Z	404	0.457748	::1	https://localhost/r/GoThere1	
42	click-load-test-42	2026-06-26T21:57:00Z	404	0.469426	::1	https://localhost/r/GoThere1	
43	click-load-test-43	2026-06-26T21:57:00Z	404	0.485251	::1	https://localhost/r/GoThere1	
44	click-load-test-44	2026-06-26T21:57:00Z	404	0.473836	::1	https://localhost/r/GoThere1	
45	click-load-test-45	2026-06-26T21:57:00Z	404	0.510282	::1	https://localhost/r/GoThere1	
46	click-load-test-46	2026-06-26T21:57:00Z	404	0.531671	::1	https://localhost/r/GoThere1	
47	click-load-test-47	2026-06-26T21:57:00Z	404	0.519177	::1	https://localhost/r/GoThere1	
48	click-load-test-48	2026-06-26T21:57:00Z	404	0.535037	::1	https://localhost/r/GoThere1	
49	click-load-test-49	2026-06-26T21:57:00Z	404	0.545788	::1	https://localhost/r/GoThere1	
50	click-load-test-50	2026-06-26T21:57:00Z	404	0.574946	::1	https://localhost/r/GoThere1	
51	click-load-test-51	2026-06-26T21:57:00Z	404	0.589818	::1	https://localhost/r/GoThere1	
52	click-load-test-52	2026-06-26T21:57:00Z	404	0.602418	::1	https://localhost/r/GoThere1	
53	click-load-test-53	2026-06-26T21:57:00Z	404	0.600038	::1	https://localhost/r/GoThere1	
54	click-load-test-54	2026-06-26T21:57:00Z	404	0.611200	::1	https://localhost/r/GoThere1	
55	click-load-test-55	2026-06-26T21:57:00Z	404	0.610403	::1	https://localhost/r/GoThere1	
56	click-load-test-56	2026-06-26T21:57:00Z	404	0.615627	::1	https://localhost/r/GoThere1	
57	click-load-test-57	2026-06-26T21:57:00Z	404	0.598677	::1	https://localhost/r/GoThere1	
58	click-load-test-58	2026-06-26T21:57:00Z	404	0.598057	::1	https://localhost/r/GoThere1	
59	click-load-test-59	2026-06-26T21:57:00Z	404	0.603878	::1	https://localhost/r/GoThere1	
60	click-load-test-60	2026-06-26T21:57:00Z	404	0.616728	::1	https://localhost/r/GoThere1	
61	click-load-test-61	2026-06-26T21:57:00Z	404	0.588427	::1	https://localhost/r/GoThere1	
62	click-load-test-62	2026-06-26T21:57:00Z	404	0.610685	::1	https://localhost/r/GoThere1	
63	click-load-test-63	2026-06-26T21:57:00Z	404	0.610965	::1	https://localhost/r/GoThere1	
64	click-load-test-64	2026-06-26T21:57:00Z	404	0.615961	::1	https://localhost/r/GoThere1	
65	click-load-test-65	2026-06-26T21:57:00Z	404	0.607673	::1	https://localhost/r/GoThere1	
66	click-load-test-66	2026-06-26T21:57:00Z	404	0.618629	::1	https://localhost/r/GoThere1	
67	click-load-test-67	2026-06-26T21:57:00Z	404	0.616787	::1	https://localhost/r/GoThere1	
68	click-load-test-68	2026-06-26T21:57:00Z	404	0.628545	::1	https://localhost/r/GoThere1	
69	click-load-test-69	2026-06-26T21:57:00Z	404	0.635282	::1	https://localhost/r/GoThere1	
70	click-load-test-70	2026-06-26T21:57:00Z	404	0.631416	::1	https://localhost/r/GoThere1	
71	click-load-test-71	2026-06-26T21:57:00Z	404	0.637328	::1	https://localhost/r/GoThere1	
72	click-load-test-72	2026-06-26T21:57:00Z	404	0.643573	::1	https://localhost/r/GoThere1	
73	click-load-test-73	2026-06-26T21:57:00Z	404	0.650712	::1	https://localhost/r/GoThere1	
74	click-load-test-74	2026-06-26T21:57:00Z	404	0.658152	::1	https://localhost/r/GoThere1	
75	click-load-test-75	2026-06-26T21:57:00Z	404	0.670818	::1	https://localhost/r/GoThere1	
76	click-load-test-76	2026-06-26T21:57:00Z	404	0.686606	::1	https://localhost/r/GoThere1	
77	click-load-test-77	2026-06-26T21:57:00Z	404	0.705410	::1	https://localhost/r/GoThere1	
78	click-load-test-78	2026-06-26T21:57:00Z	404	0.710018	::1	https://localhost/r/GoThere1	
79	click-load-test-79	2026-06-26T21:57:00Z	404	0.702475	::1	https://localhost/r/GoThere1	
80	click-load-test-80	2026-06-26T21:57:01Z	404	0.705502	::1	https://localhost/r/GoThere1	
81	click-load-test-81	2026-06-26T21:57:01Z	404	0.722526	::1	https://localhost/r/GoThere1	
82	click-load-test-82	2026-06-26T21:57:01Z	404	0.740200	::1	https://localhost/r/GoThere1	
83	click-load-test-83	2026-06-26T21:57:01Z	404	0.720276	::1	https://localhost/r/GoThere1	
84	click-load-test-84	2026-06-26T21:57:01Z	404	0.736990	::1	https://localhost/r/GoThere1	
